rank,name,sr-score,description,round,amount,recent_funding_date_timestamp_dt
628,Hive.co,"77,105",Free unlimited cloud storage for your files and torrents - Hive is a radical new social cloud storage concept ...,Venture,4000000.0,2017-10-10
631,Agency Spotter,"77,093",Agency Spotter is reinventing how businesses find and work with creative agencies - Agency Spotter is reinventing how brands find and ...,Seed,10247296.46,2014-12-31
633,Instabug,"77,069",The Platform for Real-Time Contextual Insights - We deliver Real-Time Contextual Insights throughou ...,Seed,1700000.0,2016-06-06
641,PactSafe,"76,984","Manage Your Website Legal Agreements and Make them Enforceable - PactSafe is a patent-pending, turnkey application ...",Seed,10247296.46,2016-08-31
643,Everhour,"76,967",A Better Way to Track Time. - Everhour - Tracking time doesn’t have to be a head ...,Seed,10247296.46,2015-04-01
645,ÜberConference,"76,963",Changing how conference calling is done. #TCDisrupt - UberConference brings a whole new visual dimension ...,Series C,35000000.0,2015-05-19
653,888Lots,"76,923",Liquidation sales experts! - Experts in sales of liquidation product specializi ...,Seed,10247296.46,2015-04-01
661,Vero,"76,853",Mixpanel for transactional emails - Vero - Increase conversions and customer satisfact ...,Series A,4000000.0,2017-06-05
664,RFPIO,"76,847","Crafting better RFP responses - RFPIO (RFPIO, Inc.) is a privately owned developer ...",Seed,1500000.0,2016-10-01
666,Travefy,"76,834",Travefy is the easiest online and mobile group travel planner. - Travefy - It is a group travel planner that solves ...,Series A,500000.0,2017-04-14
668,ChatBot,"76,768","Build your first bot in 10 minutes - ChatBot is an all-in-one platform to create, deplo ...",Seed,10247296.46,2015-04-01
672,Octoparse,"76,748",Visual Web Scraper - Octoparse is a client-side Windows web scraping so ...,Seed,10247296.46,2015-04-01
678,Veeqo,"76,692",Inventory & order management cloud application - Veeqo is a web based application that enables you ...,Series A,1227995.0,2016-12-06
684,Apex Minecraft Hosting,"76,651","Premium Minecraft Server Hosting. We provide the best game servers for Minecraft with DDoS Protection, Live Support and No Lag. - We provide high quality Minecraft server hosting a ...",Seed,10247296.46,2015-04-01
691,KeepSolid,"76,594",Offers a wide range of solutions and services from improved productivity to data protection and internet security - Keepsolid Goals empowers businesses to move faster ...,Seed,10247296.46,2015-04-01
693,Docracy,"76,549","A GitHub For Legal Documents - Docracy is crowd-sourced legal documents, with fre ...",Venture,200000.0,2013-01-03
694,Referral Rock,"76,547","Increase customer referrals for your business - Referral Rock helps you design, track and manage a ...",Seed,10247296.46,2015-04-01
696,MetroMile,"76,543","FitBit For Your Car - MetroMile saves you money, time and stress out on ...",Series D,103100000.0,2016-09-21
699,Quintype,"76,507","Experience Digital Publishing the Easy way - Quintype was founded in California, USA and has a ...",Seed,10247296.46,2015-04-01
707,Failory,"76,442",Learn from other entrepreneur's mistakes - Failory is a community where failed startup owners ...,Seed,10247296.46,2015-04-01
709,Taskworld,"76,409",Cloud-based collaboration platform - Taskworld is a cloud-based collaboration platform ...,Seed,10247296.46,2015-04-01
710,Edutin University,"76,400",Affordable education for all - Edutin University is an American incorporation ded ...,Seed,10247296.46,2015-04-01
711,Bridge for Billions,"76,396","Structure, Develop, and Launch your Business - Bridge for Billions is a global online incubator t ...",Seed,10247296.46,2015-04-01
715,Blueground,"76,370",Show up. Start living. - Blueground is a real estate tech company that want ...,Seed,10247296.46,2015-04-01
718,Scentbird,"76,364",Warby Parker for perfume. - Scentbird is a visual perfume recommendation engin ...,Seed,2800000.0,2016-03-30
722,Lensa,"76,334",Game-based soft skill assessment for hiring - Lensa is a 4-year old rapidly growing recruitment ...,Seed,10247296.46,2015-04-01
724,LabDoor,"76,307",Lab-Tested Product Ratings And Reviews - LabDoor brings real safety and efficacy data to po ...,Series A,3400000.0,2016-11-03
739,Zello,"76,183",The #1 Push-to-talk Walkie Talkie App - Zello is a push-to-talk app used by over 130 milli ...,Seed,10247296.46,2015-04-01
740,Kindful,"76,168","Lets charities raise money, leverage supporters and stay accountable for projects - Kindful allows charities to crowd-fund their proje ...",Series A,3500000.0,2016-10-17
742,Pixlee,"76,138",Pixlee is a visual marketing platform that helps brands market and sell by using real customer photos and videos. - Pixlee is revolutionizing the relationship between ...,Series A,2500000.0,2017-07-02
744,HyreCar,"76,120",Connecting cars with Uber/Lyft drivers - HyreCar connects car owners with Uber/Lyft drivers ...,Seed,1000000.0,2016-09-01
746,WhatsYourPrice,"76,091",WhatsYourPrice.com is an online dating website and marketplace where users can buy or sell the opportunity of going out on a first date. - WhatsYourPrice.com is a patent pending online dati ...,Seed,10247296.46,2015-04-01
749,ShareGrid,"76,058",A fully insured camera sharing community - ShareGrid is a camera sharing marketplace for film ...,Seed,1000000.0,2016-07-13
755,Yazing,"75,992",Influencer Monetization Platform - Yazing is an Influencer Monetization & CashBack Sh ...,Seed,10247296.46,2015-04-01
757,Machinio,"75,979",Machinio is a search engine for buying and selling new and used industrial equipment and machinery. - Machinio is the place to go to buy and sell used i ...,Series A,3000000.0,2016-07-12
760,Ezoic,"75,954",Personalised web experiences using A.I. - Ezoic is also the first fully automated multivaria ...,Series A,5600000.0,2013-11-01
766,Attendify,"75,914","Attendify, a mobile app, enables event companies to create guidebook apps for attendees to view profiles, messages, photos and network. - Attendify - Helping events go mobile, quickly and ...",Seed,1700000.0,2016-06-23
767,Evensi,"75,908","All the events you love - Evensi.com, with 150 million events, 40 million us ...",Venture,2500000.0,2018-12-29
770,Customer.io,"75,884",Increase conversions by emailing your users automatically - Customer.io uses behavioral analytics to identify ...,Seed,2900000.0,2017-03-24
772,Rentberry,"75,879",Renting Done Right. Finally. - Rentberry is a platform designed to make long-term ...,Venture,2800000.0,2017-10-09
774,Everypixel,"75,852","Stock image search engine that filters out trash - Everypixel aggregates all stock photos, free and p ...",Seed,10247296.46,2015-04-01
777,SmartBuyGlasses,"75,818",Leading designer eyewear e-retailer. - The Lens Scanner is available for free in both th ...,Seed,10247296.46,2015-04-01
778,Statically,"75,816","Everything you need for content delivery. - The free, fast & modern CDN for open source projec ...",Seed,10247296.46,2015-04-01
785,Hippo Video,"75,747",A video recording and sharing software. - Hippo Video is a Personalized Video Distribution P ...,Seed,10247296.46,2015-04-01
790,Integromat,"75,728",Tool for workflow automation - **[Integromat]** is an integration and automation ...,Seed,10247296.46,2015-04-01
793,PacketStream,"75,684",Residential Proxy Network - PacketStream is the first of its kind peer-to-peer ...,Seed,10247296.46,2015-04-01
796,RecurPost,"75,674",Social Media Scheduler with Repeating Schedules - RecurPost is a social media scheduler with repeati ...,Seed,10247296.46,2015-04-01
799,Planet Express,"75,663","Sending packages worldwide. - We do package forwarding and fulfillment service, ...",Seed,10247296.46,2015-04-01
805,Taskade,"75,611","Easiest way to share your notes, ideas, and tasks. - Simple, clean, and beautifully designed with relax ...",Seed,10247296.46,2015-04-01
806,SellerApp,"75,608",For e-commerce buyers - SellerApp is leading behavioral E-commerce Analyti ...,Seed,10247296.46,2015-04-01
807,Ohmconnect,"75,598",Sell your home electricity. No hardware required. - Ohmconnect is software that analyzes your home's e ...,Series A,10247296.46,2015-12-01
811,ZipBooks,"75,581",Free accounting software for small businesses - ZipBooks is an online accounting application for s ...,Seed,2000000.0,2016-07-20
815,Pinshape,"75,567",The premier 3D printing community - Pinshape is a community marketplace showcasing the ...,Seed,10247296.46,2014-01-30
819,Mobile Action,"75,534",Mobile Action provides a one stop-shop for app marketers to do competitor analysis and App Store Optimization in the App Store. - Mobile Action is an all in one platform for all st ...,Seed,2000000.0,2015-04-30
822,Kanban Zone,"75,499","Focus on the right work, at the right time - Kanban Zone is a visual process/project management ...",Seed,10247296.46,2015-04-01
824,Accredible,"75,490",Reusable & beautiful startup job applications - Accredible helps you to make the best possible fir ...,Seed,3500000.0,2016-07-01
830,Flexport,"75,458",The freight forwarder for modern logistics teams. - Flexport is a full-service global freight forwarde ...,Series C,110000000.0,2017-09-21
831,WeAreContent,"75,456",The premium community of expert content creators. - We create WeAreContent as the first content market ...,Seed,250000.0,2018-10-01
833,LeadFuze,"75,448",Email prospecting to generate hot leads that get sent straight to your inbox. - LeadFuze - We work with B2B companies and provide ...,Seed,150000.0,2016-11-03
837,Swapcard,"75,419",Your smart business card - Swapcard is a mobile app where you can create your ...,Angel,500000.0,2015-04-10
839,Infinity,"75,409",All-in-one productivity tool. - Infinity is an all-in-one productivity tool which ...,Seed,10247296.46,2015-04-01
846,NatureBox,"75,374",Healthy snack subscription commerce company - NatureBox sends you a monthly discovery box of hea ...,Series C,30000000.0,2015-05-05
847,BizofIt,"75,371","Bizofit is the best Innovation Platform for Enterprises and Technology companies. It also goes by ""Innovation HQ"". - Bizofit is an IT Services Marketplace & IT Sourcin ...",Seed,10247296.46,2015-04-01
850,WebHR,"75,355",Cloud based social HR software - Cloud-based social HR software for SMEs that handl ...,Seed,10247296.46,2015-04-01
853,WPForms,"75,323","Drag & Drop Form Builder for WordPress Beginners - WPForms allows beginners to create contact forms, ...",Seed,10247296.46,2015-04-01
854,Crelate,"75,311",Flexible recruiting software - Crelate provides flexible recruiting software to S ...,Angel,1200000.0,2017-04-05
857,EOS,"75,271",Agro-platform to effectively monitor fields - Platform gives farmers and other agri-professional ...,Seed,10247296.46,2015-04-01
858,UpKeep,"75,270","The ""Basecamp or Trello"" for Maintenance - We are the ""Basecamp or Trello"" for maintenance te ...",Seed,2700000.0,2017-06-30
870,GearLaunch,"75,136",Design and sell custom apparel with no costs or distribution challenges - GearLaunch lets you design and sell high-quality c ...,Series A,4800000.0,2017-07-26
871,Insurify,"75,135","Compare car insurance quotes - Our beta, Evia, is the first conversational AI sof ...",Venture,4600000.0,2017-03-16
875,Grow,"75,126",Powerfully simple business intelligence (BI) dashboard software for small & medium businesses. - Grow makes simple business intelligence dashboards ...,Venture,2400000.0,2017-10-03
877,SideProjectors,"75,113",A market place for side projects - SideProjectors - Many interesting side projects ar ...,Seed,10247296.46,2015-04-01
888,Opportunity,"75,064",Real Time Professional Discovery - Opportunity is a business network driven by real-t ...,Seed,250000.0,2015-11-28
890,Wanderu,"75,051","Search Bus & Train Tickets to 5,000+ cities - Wanderu searches hundreds of bus and train compani ...",Series A,5600000.0,2014-11-05
892,HelpCrunch,"75,037",All-in-one communication platform for top-notch customer service and rapid business growth. - HelpCrunch is a multi-channel customer communicati ...,Seed,500000.0,2015-01-01
893,Restaurantji,"75,029","Aggregates the customer ratings - We aggregate all the customer ratings from Google, ...",Seed,10247296.46,2015-04-01
894,DevTeam.Space,"75,026",Community of expert development teams. - DevTeam.Space is an invite-only community of exper ...,Seed,10247296.46,2015-04-01
900,Codeply,"74,965","Codeply - A HTML, CSS & JavaScript code editor that makes it easier to build responsive websites. Co ...",Seed,10247296.46,2015-04-01
901,Delighted,"74,942",Delighted is the easiest and most beautiful way to measure customer happiness. Are your customers delighted? - Delighted helps businesses connect with their cust ...,Seed,10247296.46,2013-01-01
904,Profit.co,"74,912",Most intuitive OKR software - Profit is the most comprehensive and intuitive OKR ...,Seed,10247296.46,2015-04-01
905,1Digital Agency,"74,910","Volusion, Bigcommerce, Shopify - Ecommerce Digital Agency - 1Digital Agency is a group of expert Ecommerce gur ...",Seed,10247296.46,2015-04-01
906,MoonClerk,"74,901",Accept Recurring (and One-Time) Payments - No Coding Required - MoonClerk lets anyone immediately set up recurring ...,Seed,10247296.46,2012-08-15
907,Fantastical,"74,881",Your Mac's calendar will never be the same again. - Fantastical is a new calendar app for the Mac that ...,Seed,10247296.46,2015-04-01
912,ZipJob,"74,853",Job Winning Resumes - Zipjob has developed a service to help job seekers ...,Seed,10247296.46,2015-04-01
919,Netpeak Spider,"74,798",Your Personal SEO Сrawler - Netpeak Spider is a desktop tool which crawls your ...,Seed,10247296.46,2015-04-01
924,CloudTalk,"74,778",Handle phone conversations in a modern way - CloudTalk is a cloud-based phone software created ...,Seed,10247296.46,2015-04-01
926,UpNest,"74,757","UpNest is a real estate agent marketplace connecting home buyers and sellers with top, local agents who compete for their business. - UpNest is an online real estate marketplace that m ...",Seed,2800000.0,2014-11-01
929,ProofHub,"74,752",A complete Project management solution for teams! - Now manage your projects like a pro! With affordab ...,Seed,10247296.46,2015-04-01
930,PapersOwl,"74,743",Cheap and Friendly Essay Writing Service - Custom Essay papersowl.com Writing Service of perf ...,Seed,10247296.46,2015-04-01
932,BetaList Bundle,"74,732",Handpicked startup tools for early stage startups at an amazing discount - BetaList Bundle is a collection of handpicked star ...,Seed,10247296.46,2015-04-01
934,Appcues,"74,721",Appcues is a User Onboarding Software Solution. - 40 - 60% of users who sign up for a free trial wil ...,Seed,2500000.0,2016-02-23
941,RebelsMarket,"74,690","World's #1 Counterculture Megastore - RebelsMarket is an online, curated marketplace of ...",Seed,10247296.46,2015-04-01
945,CIENCE,"74,659",Sales Conversations Start Here - CIENCE is human-driven & machine powered managed s ...,Seed,10247296.46,2015-04-01
946,talkroute,"74,642",Turn any phone into a professional sounding phone system - Talkroute turns any phone into a professional phon ...,Venture,500000.0,2015-04-24
950,GitMind,"74,590",Make your ideas happen - GitMind is a free online mind map maker for brains ...,Seed,10247296.46,2015-04-01
951,CrowdReviews,"74,578",A buyer's guide based on user reviews. - CrowdReviews.com is the first buyer's guide on pro ...,Seed,10247296.46,2015-04-01
