,market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
353,"'advertising', 'marketing', 'startups'",'web app',Publicly,No recent company activity detected,3 May 19,26200.0,3.0,'HYPERISE',Pre,"'b2b', 'subscription'",39,Self,http://hyperise.com?ref=startuptracker,"'Create dynamic images that personalize to your email recipients and website visitors, on the fly.'",'HYPERISE',April 30 2019,Nottingham UK,https://startuptracker.io,181500
354,'consulting','service',Publicly,No recent company activity detected,1 May 19,0.0,1.0,'Winning Habits',Pre,"'b2c', 'free to use', 'advertising', 'affiliation', 'subscription'",45,Undisclosed,https://highandwise.com?ref=startuptracker,"'We are a magazine that highlights opportunities to run your own business, and ways to develop you and your business.'",'High and Wise',February 1 2019,Bath UK,https://startuptracker.io,0
355,"'data', 'media', 'content'",'web app',Publicly,High company activity detected,25 Apr 19,0.0,1.0,'Chris Southam',Pre,"'b2c', 'subscription'",23,Undisclosed,https://www.kemento.com?ref=startuptracker,'Your life stories... captured... forever.','Kemento',June 30 2018,Bath UK,https://www.crunchbase.com/organization/kemento,0
356,'automotive','service',Pre,Low company activity detected,23 Apr 19,14100000.0,7.5,'Venture UK Group LTD',Pre,"'b2c', 'b2b', 'free to use'",52,Undisclosed,https://markldavis1966md.wixsite.com/autostone-group-uk?ref=startuptracker,"""The product is mobile car repair  service to customer's homes and work and it provides to fleet customers as well""",'Autostone',March 5 2019,Watford UK,https://startuptracker.io,356
357,"'advertising', 'education', 'marketing', 'events'","'hardware', 'service'",Publicly,No recent company activity detected,18 Apr 19,3000.0,7.5,'Luca Robotics',Post,"'b2c', 'b2b', 'sales', 'subscription'",253,Undisclosed,https://www.lucarobotics.com/?ref=startuptracker,"'Specialising in robot hire, robot sales and consulting for events, exhibitions and education clients.'",'Luca Robotics',September 18 2018,Camberley UK,https://crunchbase.com/organization/luca-robotics,1600000
358,"'media', 'social networks', 'startups', 'software dev'","'other', 'web app'",Publicly,High company activity detected,17 Apr 19,14100.0,7.5,'NotMP3',Pre,"'b2c', 'non profit', 'free to use'",3,Undisclosed,https://notmp3.com/?ref=startuptracker,'NotMP3 team is obsessed with quality software development and continue to extend the collection of free programs.','NotMP3',February 14 2018,London UK,https://crunchbase.com/organization/notmp3,335100
359,'design','web app',Privately,No recent company activity detected,17 Apr 19,74.0,1.0,'Pyrismic',Pre,"'b2c', 'commission'",74,Undisclosed,https://www.pyrismic.com/?ref=startuptracker,'Find the perfect remote UI/UX freelancer in just 24 hours.','Pyrismic',March 31 2019,Brighton UK,https://producthunt.com/posts/pyrismic,0
360,"'e commerce', 'productivity', 'retail', 'sales'","'service', 'web app'",Publicly,Low company activity detected,15 Apr 19,25700.0,30.5,'multiorders',Pre,"'b2b', 'subscription'",851,Undisclosed,https://multiorders.com/?ref=startuptracker,"'We provide a multichannel order, shipping and inventory management solution for e-commerce sellers'",'Multiorders',May 31 2018,London UK,https://www.crunchbase.com/organization/multiorders,185300
361,'productivity','web app',Publicly,No recent company activity detected,12 Apr 19,917.0,1.0,'Duncan McClean',Pre,"'other', 'subscription'",52,Self,https://readcast.app?ref=startuptracker,'Turn your reading list into a podcast','ReadCast',March 16 2019,Glasgow UK,https://producthunt.com/posts/readcast,5100000
362,"'design', 'marketing', 'startups', 'content'",'service',Publicly,No recent company activity detected,10 Apr 19,35.0,7.5,'FLUX Content',Pre,"'b2b', 'subscription'",35,Undisclosed,http://fluxcontent.stream/?ref=startuptracker,"'On demand quality content experts for Startups, Agencies & Small Businesses'",'FLUX Content',April 9 2019,London UK,https://startuptracker.io,0
363,"'other', 'analytics', 'security', 'software dev'","'other', 'service'",Publicly,High company activity detected,6 Apr 19,62800.0,1.0,"'OpsMatters', 'Gerald Curley'",Pre,"'b2c', 'b2b', 'advertising', 'subscription'",2000,Undisclosed,https://opsmatters.com?ref=startuptracker,'The source for News & Information on operational applications & tools','OpsMatters',May 15 2018,London UK,https://crunchbase.com/organization/opsmatters,76400
364,"'finance', 'marketing', 'messaging', 'sales'","'other', 'desktop app', 'web app'",Pre,No recent company activity detected,4 Apr 19,0.0,7.5,"'Ibby', 'HubSolv', 'Caterina Bassano', 'HubSolv Ltd'",Pre,"'b2b', 'freemium', 'subscription'",96,Undisclosed,http://getibby.com/beta-launch?ref=startuptracker,"'Messaging Platform for Marketing, Sales and Support'",'Ibby',January 1 2014,Glasgow UK,https://startuptracker.io,0
365,"'design', 'productivity', 'ar/vr', 'real estate'",'other',Privately,Low company activity detected,4 Apr 19,73.0,4.0,'Akshay Saswade',Pre,"'b2b', 'subscription'",73,Undisclosed,http://www.perceptimagery.com?ref=startuptracker,"'Percpet Imagery with its cloud based immersive platform is helping the AEC industry accelerate project delivery, reduce costs and rework.'",'Percept Imagery',January 22 2018,Brighton UK,https://crunchbase.com/organization/percept-imagery,0
366,"'entertainment', 'gaming', 'music', 'content'",'desktop app',Publicly,High company activity detected,25 Mar 19,585.0,4.0,'Signum Audio',Pre,"'b2b', 'sales'",644,Undisclosed,http://www.signumaudio.com/?ref=startuptracker,'Signum Audio is creating a generation of intuitive plugins using our prowess in DSP engineering.','Signum Audio',July 20 2017,Edinburgh UK,https://www.crunchbase.com/organization/signum-audio,7900000
367,"'advertising', 'consulting', 'e commerce', 'accounting and legal'","'service', 'web app'",Publicly,High company activity detected,24 Mar 19,10600.0,30.5,'Seers',Pre,"'b2b', 'free to use', 'commission', 'freemium', 'subscription'",235,Undisclosed,http://seersco.com?ref=startuptracker,'Seers is the UKs leading data protection & privacy compliance one-stop shop.','Seers Group',March 25 2018,London UK,https://crunchbase.com/organization/seers-group,446100
368,"'marketing', 'sales'","'service', 'web app'",Publicly,No recent company activity detected,24 Mar 19,0.0,4.0,,Pre,"'b2b', 'freemium', 'subscription'",139,Self,https://refersoft.io?ref=startuptracker,'A simple affiliate and referral tracking software','Refersoft',December 31 2018,Leek UK,https://betalist.com/startups/refersoft,0
369,"'other', 'e commerce', 'startups'",'web app',Publicly,High company activity detected,18 Mar 19,2000.0,2.0,'SuperPay',Pre,"'b2b', 'other', 'commission'",85,Undisclosed,https://superpay.it?ref=startuptracker,"'Making online payments simple, frictionless and fast. No setup costs or contract - start taking payments today'",'SuperPay',January 2 2019,London UK,https://producthunt.com/posts/superpay,2400000
370,"'education', 'startups', 'travel'",'service',Pre,Sourced by Startup Tracker,12 Mar 19,1800.0,7.5,'Volangua',Pre,"'b2c', 'free to use', 'commission', 'advertising', 'affiliation', 'subscription'",1,Self,http://www.volangua.com?ref=startuptracker,'Volangua is a language school comparison site that aims to make learning a new language available to anyone in the world','Volangua',October 22 2018,London UK,https://www.crunchbase.com/organization/volangua,2600000
371,"'design', 'governmental', 'marketing'","'service', 'web app'",Publicly,No recent company activity detected,8 Mar 19,541.0,1.0,'Matt Saunders',Pre,"'b2b', 'non profit', 'sales', 'subscription'",560,Self,https://charitybox.io?ref=startuptracker,'A productised web development service for UK charities','Charity Box',September 30 2018,Leeds UK,https://startuptracker.io,8500000
372,"'advertising', 'marketing', 'sharing economy', 'social networks', 'productivity'",'service',Publicly,High company activity detected,4 Mar 19,109100.0,7.5,"'Lucia Fontaina-Powell', 'Daniel Kempe 🔥', 'Matthew Spurr 〽️'",Pre,"'b2b', 'free to use', 'freemium', 'subscription'",10900,$250k,https://quuu.co/?ref=startuptracker,'Put your content curation on autopilot','Quuu',November 3 2015,London UK,https://www.crunchbase.com/organization/quuu,44100
373,"'startups', 'blockchain'",'web app',Publicly,High company activity detected,3 Mar 19,1200.0,7.5,,Pre,"'b2c', 'commission'",9,Undisclosed,https://voltaire.cash?ref=startuptracker,'A digital cash exchange with BCH pairs.','Voltaire',January 31 2018,London UK,https://www.crunchbase.com/organization/voltaire-3495,0
374,"'communication', 'health', 'medical', 'software dev'",'desktop app',Privately,High company activity detected,1 Mar 19,6900.0,7.5,'accuRx',Pre,"'b2c', 'b2b', 'free to use'",3100,$12m,http://www.accurx.com/?ref=startuptracker,'Bringing patients and their healthcare teams together.','AccuRx',May 16 2016,London UK,https://www.crunchbase.com/organization/accurx-2,684000
375,"'food and beverages', 'data', 'health'",'web app',Publicly,Sourced by Startup Tracker,26 Feb 19,642.0,2.0,'OutdoorFoodClub',Pre,"'b2c', 'free to use', 'advertising', 'affiliation', 'subscription'",1100,Self,https://www.outdoorfood.club?ref=startuptracker,'A sports supplement and outdoor food discovery tool with objective comparisons.','Outdoor Food Club',September 30 2018,Caernarfon UK,https://startuptracker.io,7200000
376,"'other', 'productivity'",'web app',Pre,No recent company activity detected,22 Feb 19,800.0,1.0,'jeff',Pre,"'b2c', 'sales'",2800,Self,https://readology.net?ref=startuptracker,'Readology is a zero-bloat blog site built for the blog-reading experience: A no-bullshit blogging platform','Readology',February 14 2019,Scotland UK,https://startuptracker.io,0
377,"'finance', 'accounting and legal'","'other', 'service', 'web app'",Publicly,High company activity detected,19 Feb 19,7800.0,30.5,"'Capdesk', 'Christian Gabriel'",Pre,"'b2b', 'subscription'",598,Undisclosed,https://www.capdesk.com/?ref=startuptracker,"'A powerful equity management platform, helping companies digitise cap tables, shareholder registers and employee shares.'",'Capdesk',May 10 2015,London UK,https://crunchbase.com/organization/capdesk-bring-shares-to-life,603000
378,"'retail', 'events', 'sales'",'web app',Publicly,High company activity detected,18 Feb 19,0.0,3.0,,Pre,"'b2b', 'subscription'",188,Self,https://quoteonsite.com?ref=startuptracker,"'Produce beautiful, customised quoting documents'",'QuoteOnSite',March 31 2017,swansea UK,https://startuptracker.io,0
379,'startups','service',Publicly,High company activity detected,18 Feb 19,200.0,1.0,'Upmarketry',Pre,"'b2b', 'other'",1200,Undisclosed,https://www.upmarketry.com/?ref=startuptracker,'Every startup wants to disrupt their industry. Upmarketry gets them the attention they need to do it.','Upmarketry',January 7 2018,Berkshire UK,https://www.crunchbase.com/organization/upmarketry,0
380,"'education', 'finance'",'service',Publicly,High company activity detected,15 Feb 19,45400.0,175.5,'Prodigy Finance',Post,"'b2c', 'sales'",4100,Undisclosed,https://prodigyfinance.com/?ref=startuptracker,"'Prodigy Finance is an online cross-border loan provider, that funds international students attending the world’s top schools.'",'Prodigy Finance',July 31 2007,London UK,https://www.crunchbase.com/organization/prodigy-finance,105300
381,"'e commerce', 'finance', 'iot', 'blockchain'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,14 Feb 19,2700.0,3.0,'Kobocoin',Post,"'other', 'free to use'",1900,Self,https://kobocoin.com?ref=startuptracker,"'A fast, green, mobile cryptocurrency optimised for the African mobile fintech arena!'",'Kobocoin',February 7 2015,London UK,https://startuptracker.io,1700000
382,"'advertising', 'retail', 'robotics', 'events', 'marketing'","'physical goods', 'service'",Publicly,No recent company activity detected,14 Feb 19,804.0,3.0,'Enrico Penzo',Pre,"'b2b', 'sales'",38,Self,https://selfiebot.co?ref=startuptracker,"'Selfiebot, the premium robotic photo booth'",'Selfiebot',June 21 2017,London UK,https://www.producthunt.com/posts/selfiebot?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,5800000
383,"'e commerce', 'ai', 'productivity'",'web app',Publicly,High company activity detected,13 Feb 19,111400.0,30.5,'Shopper.com',Pre,"'b2c', 'free to use', 'commission', 'advertising', 'affiliation'",957,Undisclosed,https://shopper.com?ref=startuptracker,'Shopper.com is a community curated discount platform that automatically applies to your shopping cart.','Shopper.com',December 2 2018,London UK,https://www.producthunt.com/posts/shopper-com?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,43200
384,"'education', 'productivity', 'hr and recruitment', 'accounting and legal'","'desktop app', 'service'",Publicly,High company activity detected,12 Feb 19,9000.0,30.5,,Pre,"'b2c', 'b2b', 'subscription'",1100,Undisclosed,https://stafftimerapp.com/?ref=startuptracker,'StaffTimerApp is an Artificial Intelligence driven Time Tracking Solution','Staff Timer',June 27 2018,London UK,https://betalist.com/startups/stafftimerapp,527200
385,"'education', 'productivity', 'hr and recruitment', 'accounting and legal'","'desktop app', 'service'",Publicly,High company activity detected,12 Feb 19,9000.0,30.5,,Pre,"'b2c', 'b2b', 'subscription'",1100,Undisclosed,https://stafftimerapp.com/?ref=startuptracker,'StaffTimerApp is an Artificial Intelligence driven Time Tracking Solution','Staff Timer App Ltd',June 27 2018,London UK,https://betalist.com/startups/stafftimerapp,527200
386,"'data', 'education', 'finance', 'accounting and legal'",'web app',Publicly,High company activity detected,8 Feb 19,26800.0,7.5,'PDFTables',Post,"'b2b', 'other', 'freemium'",702,Undisclosed,https://pdftables.com?ref=startuptracker,"'Effortlessly convert your PDF Table to Excel online, quickly convert any PDF to Excel, CSV, XML or HTML. Use our API - Free Trial'",'PDFTables',August 30 2015,London UK,https://startuplister.com,177600
387,"'communication', 'productivity', 'hr and recruitment', 'events'",'web app',Privately,No recent company activity detected,4 Feb 19,1200.0,4.0,'Johnny Boufarhat',Pre,"'b2c', 'b2b', 'free to use', 'commission', 'freemium', 'subscription'",9,Undisclosed,https://hopiin.com?ref=startuptracker,"'Hopiin is a web events platform that allows organisers to create online meetups, networking events and more.'",'hopiin',October 4 2018,London UK,https://angel.co/quiin,0
388,"'e commerce', 'finance', 'retail'",'other',Publicly,No recent company activity detected,1 Feb 19,0.0,30.5,'Proplend',Post,"'b2c', 'b2b', 'sales'",1500,Undisclosed,https://proplend.com?ref=startuptracker,'Proplend is a fully FCA approved peer to peer lending platform & Innovative ISA manager specialising in secured commercial property loans.','Proplend',January 15 2014,Richmond UK,https://www.crunchbase.com/organization/proplend,0
389,'insurance','service',Publicly,High company activity detected,28 Jan 19,0.0,30.5,'Laka',Pre,"'b2c', 'commission'",2100,$1.8m,http://www.laka.co.uk?ref=startuptracker,'Bicycle Insurance that’s unlike anything you have seen before.','Laka',January 20 2017,London UK,https://www.crunchbase.com/organization/insure-a-thing,0
390,"'consulting', 'iot', 'manufacturing', 'robotics'","'hardware', 'physical goods', 'service', 'web app'",Privately,High company activity detected,26 Jan 19,0.0,7.5,"'Itoma Lux', 'DM2 agency', 'Ir T'",Pre,"'b2c', 'b2b', 'advertising', 'sales', 'subscription'",60,Undisclosed,https://www.itoma.co.uk?ref=startuptracker,"'3D Print in Colour you, your family, friends and pets & prototype all your personal & business ideas!'",'Itoma',May 21 2017,Hatfield UK,https://www.crunchbase.com/organization/itoma,0
391,"'e commerce', 'entertainment', 'fashion', 'marketing'",'web app',Pre,No recent company activity detected,26 Jan 19,0.0,2.0,'Reviewdrop',Pre,"'b2b', 'free to use', 'subscription'",32,Undisclosed,https://reviewdrop.io?ref=startuptracker,'A review system and widget for b2b - collect and display business reviews on websites.','Reviewdrop',December 1 2018,Glasgow UK,https://betalist.com/startups/reviewdrop,0
392,"'insurance', 'sharing economy'","'mobile app', 'service'",Publicly,High company activity detected,24 Jan 19,7100.0,75.5,'Zego',Post,"'b2c', 'b2b', 'sales'",1300,$9.7m,https://www.zego.com?ref=startuptracker,'Flexible insurance for modern businesses and the self-employed','Zego',July 18 2017,London UK,https://www.crunchbase.com/organization/zegocover,661900
393,"'finance', 'startups', 'software dev'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,24 Jan 19,50600.0,175.5,"'Michael Kent', 'Marta Krupińska'",Pre,"'b2c', 'free to use'",13200,Undisclosed,http://azimo.com/en/?ref=startuptracker,"'The faster, safer way to send money to more than 200 countries and territories worldwide.'",'Azimo',October 14 2012,London UK,https://www.crunchbase.com/organization/azimo,94600
394,"'data', 'finance', 'startups', 'sales'",'service',Publicly,High company activity detected,23 Jan 19,10900.0,750.5,'Ebury',Pre,"'b2c', 'b2b', 'other', 'commission', 'sales'",2400,$119m,http://ebury.com?ref=startuptracker,'Ebury is a financial services company specifically designed to empower small and medium-sized businesses that want to trade internationally.','Ebury',November 25 2009,London UK,https://www.crunchbase.com/organization/ebury,435600
395,"'advertising', 'analytics', 'marketing', 'media'",'web app',Publicly,No recent company activity detected,22 Jan 19,124.0,7.5,"'Loic.ab', 'Sam'",Pre,"'b2c', 'subscription'",124,Undisclosed,https://flick.fillistudios.com?ref=startuptracker,"'Flick allows entrepreneurs, small businesses and content creators reach their target audience by providing the best hashtags for their posts'",'Flick',August 31 2018,london UK,https://betalist.com/startups/flick,0
396,"'education', 'health', 'productivity', 'startups'","'desktop app', 'mobile app'",Privately,High company activity detected,22 Jan 19,11.0,2.0,"'Cassius Kiani', 'Richard ⏱'",Pre,"'b2c', 'freemium'",11,Undisclosed,http://Byozo.org?ref=startuptracker,'The only productivity tool that transforms time into impact.','Byozo',September 30 2018,London UK,https://startuptracker.io,0
397,"'food and beverages', 'health', 'productivity'",'web app',Pre,No recent company activity detected,22 Jan 19,0.0,1.0,'Kameron Tanseli',Pre,"'b2c', 'free to use', 'subscription'",1100,Undisclosed,https://foodspan.app/?ref=startuptracker,'Get alerted before your meals go bad in the fridge / freezer','foodspan',December 31 2018,London UK,https://betalist.com/startups/foodspan,0
398,'design','other',Publicly,High company activity detected,22 Jan 19,948.0,1.0,'Jamie Syke',Pre,"'b2b', 'free to use'",4100,Undisclosed,https://www.syke.co/1hr-landing-page?ref=startuptracker,"'A short book running through the importance of landing pages to you, the busy founder, and your growing business.'",'1 Hour to a Better Landing Page',January 19 2019,Brighton UK,https://startuptracker.io,4900000
399,'hr and recruitment','web app',Publicly,High company activity detected,14 Jan 19,3900.0,30.5,"'Kaspars Upmanis', 'Nori 🌊'",Post,"'b2b', 'subscription'",3,Undisclosed,https://cake.hr?ref=startuptracker,'CakeHR is HR software company that streamlines attendance and performance management for customers in over 1000 cities worldwide!','CakeHR',January 5 2012,London UK,https://www.crunchbase.com/organization/cakehr,1200000
400,"'other', 'productivity', 'blockchain', 'software dev'",'web app',Publicly,No recent company activity detected,12 Jan 19,1300.0,3.0,'DECS',Pre,"'other', 'free to use'",124,Undisclosed,https://app.decs.xyz/?ref=startuptracker,"'All-in-one workspace for developers to manage code snippets & protect sensitive application data (like API Keys, configurations, tokens)'",'DECS',November 21 2018,Cambridge UK,https://producthunt.com/posts/decs,3600000
401,"'advertising', 'communication', 'events', 'content'","'desktop app', 'service', 'web app'",Privately,Low company activity detected,7 Jan 19,1200.0,2.0,,Pre,"'b2c', 'b2b', 'subscription'",9,Undisclosed,https://seed.li/?ref=startuptracker,"'Platform to schedule posts, manage all their social media accounts in one place.'",'seed.li network',December 6 2018,norwich UK,https://angel.co/losdomains,0
402,"'other', 'startups'",'web app',Publicly,No recent company activity detected,2 Jan 19,955.0,2.0,'RemoteOne',Pre,"'b2b', 'freemium'",81,Undisclosed,https://remote.one?ref=startuptracker,'Time Tracking & Invoicing for Remote Freelancers','RemoteOne',February 14 2018,Bristol UK,https://producthunt.com/posts/remoteone,4900000
403,"'e commerce', 'startups', 'software dev'",'service',Publicly,High company activity detected,29 Dec 18,0.0,2.0,'All JavaScript Jobs',Pre,"'other', 'sales'",371,Undisclosed,https://alljsjobs.com/?ref=startuptracker,'All JavaScript Jobs is the #1 job board to find JavaScript jobs','All JavaScript Jobs',December 2 2018,Enfield UK,https://betalist.com/startups/all-js-jobs,0
404,"'communication', 'finance', 'governmental', 'sales', 'productivity', 'messaging'",'web app',Privately,No recent company activity detected,20 Dec 18,1200.0,7.5,,Pre,"'b2b', 'freemium', 'subscription'",9,Undisclosed,https://teamsearch.it/?ref=startuptracker,"'Search Office 365 communications from Outlook, SharePoint, Teams, Skype for Business & Yammer in one click'",'TeamSearch',August 14 2018,Clevedon UK,https://www.producthunt.com/posts/teamsearch?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,0
405,"'entertainment', 'social networks', 'ai', 'content'","'other', 'mobile app'",Pre,Low company activity detected,17 Dec 18,0.0,2.0,'Lucky Dave',Pre,"'b2c', 'free to use', 'affiliation'",1100,Self,https://listyapp.com?ref=startuptracker,'A new discovery app that learns about our users through the lists they make & match relevant content created by others in the community.','Listy',February 10 2017,Bristol UK,https://betalist.com/startups/listy,0
406,"'entertainment', 'media', 'content'","'service', 'web app'",Publicly,Low company activity detected,15 Dec 18,6900.0,30.5,'Anne-Laure Le Cunff',Pre,"'b2c', 'other', 'free to use'",2400,Undisclosed,https://makermag.com/?ref=startuptracker,'The first magazine for indie makers.','Maker Mag',December 9 2018,London UK,https://producthunt.com/posts/maker-mag,684500
407,"'consulting', 'finance', 'insurance', 'startups', 'productivity'",'web app',Privately,High company activity detected,11 Dec 18,1600.0,7.5,'Autto',Post,"'b2b', 'freemium'",787,Undisclosed,https://www.autto.io/?ref=startuptracker,"'easy, accessible  automation for documents & processes'",'Autto',June 14 2016,lo UK,https://www.crunchbase.com/organization/abs-technology-limited,2800000
408,"'productivity', 'startups'","'other', 'web app'",Publicly,No recent company activity detected,4 Dec 18,216.0,2.0,"'Hugo', 'Alexander III', 'Treadie'",Pre,"'other', 'free to use', 'advertising'",216,Undisclosed,https://makerweekly.co?ref=startuptracker,'Indie maker and bootstrapped startup news','Maker Weekly',November 11 2018,London UK,https://producthunt.com/posts/maker-weekly,0
409,"'marketing', 'productivity', 'startups', 'software dev'",'web app',Publicly,High company activity detected,3 Dec 18,29400.0,7.5,"'Mertcan Yücel', 'Oguz', 'Durul Doktoroglu'",Pre,"'b2c', 'freemium'",429,Self,https://getform.io?ref=startuptracker,'Form backend platform for designers and developers','Getform',October 4 2015,London UK,https://crunchbase.com/organization/getform-2,162300
410,"'advertising', 'communication', 'marketing', 'content'","'service', 'web app'",Pre,Low company activity detected,1 Dec 18,1.0,2.0,,Pre,"'b2b', 'free to use', 'commission'",9,Self,https://www.bloggerwork.co.uk?ref=startuptracker,'Completely free self-service influencer marketplace. Brands buy authoritative influencer posts in minutes.','Bloggerwork',October 9 2018,London UK,https://betalist.com/startups/bloggerwork,0
411,'finance','mobile app',Privately,High company activity detected,30 Nov 18,5700.0,7.5,"'Tom McGillycuddy', 'Matt Latham'",Pre,"'b2c', 'commission'",1200,$1m,https://tickr.co.uk/?ref=startuptracker,'An impact investing app inspiring the next generation of investors','͏t͏i͏c͏k͏r',February 15 2018,Liverpool UK,https://betalist.com/startups/tickr,823200
412,"'consulting', 'finance', 'insurance', 'accounting and legal'","'service', 'web app'",Publicly,No recent company activity detected,29 Nov 18,0.0,75.5,"'Gear Investments', 'My T-Advisor'",Pre,"'b2b', 'commission'",69,Undisclosed,http://www.gearinvestments.com?ref=startuptracker,'Online discretionary wealth manager. investing money in line with your risk profile and goals using an “active management approach”.','Gear Investments',June 28 2016,London UK,https://www.crunchbase.com/organization/gear-investments,0
413,"'communication', 'marketing', 'startups', 'sales'",'web app',Pre,High company activity detected,28 Nov 18,691.0,2.0,,Pre,"'b2c', 'freemium', 'sales'",1100,Self,https://pagrr.com?ref=startuptracker,'Create beautiful landing pages','Pagrr',November 1 2018,London UK,https://betalist.com/startups/pagrr,6700000
414,"'other', 'health', 'startups'","'mobile app', 'service'",Publicly,High company activity detected,26 Nov 18,1400.0,7.5,'Paradym®',Pre,"'b2c', 'b2b', 'subscription'",504,Undisclosed,http://www.theparadym.com?ref=startuptracker,"'A process for Emotional Intelligence. Mental wellness for startups, founders, and the freelance generation'",'Paradym',June 30 2017,London UK,https://crunchbase.com/organization/the-paradym,3200000
415,"'e commerce', 'finance', 'retail', 'accounting and legal'","'mobile app', 'service', 'web app'",Privately,No recent company activity detected,13 Nov 18,1.0,3.0,'SoMuchMoreThanAccounts',Pre,"'b2b', 'sales', 'subscription'",1,Undisclosed,http://www.somuchmorethanaccounts.com?ref=startuptracker,'Cloud Based Software + Pay As You Go People for Accounts and So Much > !','So Much More Than Accounts',August 27 2017,Manchester UK,https://startuptracker.io,0
416,"'entertainment', 'gaming', 'events', 'social networks'",'web app',Publicly,Low company activity detected,11 Nov 18,18100.0,2.0,'Fast Poll',Pre,'other',4400,Self,https://fast-poll.com?ref=startuptracker,'With Fast-Poll you can create a stunning looking poll instantly and share with the world.','Fast Poll',November 9 2018,York UK,https://producthunt.com/posts/fast-poll,262700
417,"'other', 'startups', 'software dev'",'web app',Publicly,High company activity detected,9 Nov 18,7200.0,7.5,'DeveloperHub.io',Pre,"'b2b', 'freemium', 'subscription'",102,Undisclosed,https://developerhub.io?ref=startuptracker,"'Create beautiful powerful documentation, hassle-free.'",'DeveloperHub.io',August 5 2018,London UK,https://www.crunchbase.com/organization/developerhub-io,658200
418,"'consulting', 'hr and recruitment'","'mobile app', 'service', 'web app'",Publicly,Low company activity detected,9 Nov 18,881.0,7.5,'Recruitly',Post,"'b2c', 'free to use', 'subscription'",399,Undisclosed,http://recruitly.io?ref=startuptracker,"'Recruitly® is a cloud based agency recruitment software. It provides CRM, ATS and Marketing combined modules for a seamless experience.'",'Recruitly',December 31 2014,Manchester UK,https://www.crunchbase.com/organization/recruitly,5300000
419,'e commerce','web app',Publicly,Sourced by Startup Tracker,9 Nov 18,0.0,7.5,,Pre,"'b2c', 'b2b', 'subscription'",1100,$22.7k,https://vatcompliance.net/en/?ref=startuptracker,'Tax compliance platrofm for e-commerce','LOVAT',September 25 2016,Edinburgh UK,https://crunchbase.com/organization/lovat-fb92,0
420,"'finance', 'ai', 'software dev'","'service', 'web app'",Publicly,No recent company activity detected,5 Nov 18,0.0,2.0,"'John P', 'Chetan Malhotra', 'Auditus'",Pre,"'b2c', 'b2b', 'subscription'",6,Undisclosed,https://KloudTrader.com/Narwhal?ref=startuptracker,'Flat rate algorithmic trading platform','KloudTrader',August 1 2015,London UK,https://crunchbase.com/organization/kloudtrader,0
421,"'e commerce', 'marketing', 'content'",'web app',Privately,Sourced by Startup Tracker,4 Nov 18,12700.0,2.0,,Pre,"'b2c', 'commission', 'affiliation'",373100,Undisclosed,http://launchspace.net?ref=startuptracker,'We collect the best software deals on the net and deliver them to your browser.','Launch Space',July 9 2018,London UK,https://startuptracker.io,373100
422,'education',"'service', 'web app'",Publicly,No recent company activity detected,1 Nov 18,0.0,2.0,'ednaapp',Pre,"'b2c', 'subscription'",318,Undisclosed,https://ednaapp.com/?ref=startuptracker,"'Online EYFS observations and learning journals software. Simple, quick & hassle free.'",'Edna',July 31 2018,Leeds UK,https://producthunt.com/posts/edna-app,0
423,"'communication', 'productivity', 'sales'",'web app',Publicly,No recent company activity detected,1 Nov 18,3100.0,4.0,'Leon Roy',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",14,Undisclosed,https://www.brring.com?ref=startuptracker,"'Conference calling the way it should be. Seamless scheduling, automated dial-in and international calls at fair rates.'",'Brring',February 1 2016,London UK,https://www.crunchbase.com/organization/brring,1500000
424,"'productivity', 'hr and recruitment', 'startups'","'physical goods', 'web app'",Privately,No recent company activity detected,1 Nov 18,0.0,4.0,'Emma Obanye',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",307,Undisclosed,https://mindful.team?ref=startuptracker,"'Mindful Team lets you collect feedback from your team during the sprint, easily change the format of your retrospectives and follow through.'",'Mindful Team',June 10 2016,London UK,https://angel.co/mindfulteam,0
425,"'other', 'productivity', 'startups', 'software dev'","'service', 'web app'",Privately,No recent company activity detected,30 Oct 18,766.0,1.0,'DomBoard',Post,"'b2b', 'freemium'",4,Undisclosed,https://domboard.com?ref=startuptracker,'Domain name management software - a dashboard for your domains.','domboard',October 30 2018,London UK,https://www.crunchbase.com/organization/domboard-com--llc,6000000
426,"'gaming', 'health', 'productivity', 'medical'",'mobile app',Publicly,No recent company activity detected,27 Oct 18,0.0,1.0,'Dani Olympi',Pre,"'b2b', 'free to use', 'freemium', 'subscription'",15,Self,https://merrier.io?ref=startuptracker,'Turns overcoming anxiety into a fun game','Merrier: Stress & Anxiety Game',August 14 2018,London UK,https://angel.co/merrier,0
