,Company,Valuation ($B),City,Industry,Select Investors
271,TangoMe,1.1,Mountain View,"Mobile,telecommunications","Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
272,AppDirect,1.1,San Francisco,"E-commerce,direct-to-consumer","Mithril, iNovia Capital, Foundry Group"
273,Eat Just,1.1,San Francisco,"Consumer,retail","Khosla Ventures, Horizons Ventures, Founders Fund"
274,Ivalua,1.1,Redwood City,Fintech,"Ardian, Tiger Global Management, KKR"
275,Sisense,1.1,New York,"Data management,analytics","Opus Capital, Genesis Partners, Battery Ventures"
276,Course Hero,1.1,Redwood City,Edtech,"NewView Capital, Maveron, Ridge Ventures"
277,Sema4,1.1,Stamford,Health,"Blackrock, Connecticut Innovations, Deerfield Management"
278,Pharmapacks,1.1,Islandia,"E-commerce,direct-to-consumer",The Carlyle Group
279,SalesLoft,1.1,Atlanta,"Internet software,services","Caffeinated Capital, Obvious Ventures, Venrock"
280,Ginger,1.1,San Francisco,Health,"Kaiser Permanente Ventures, Khosla Ventures, True Ventures"
281,Rightway,1.1,New York,Health,"Thrive Capital, Khosla Ventures, Tiger Global Management"
282,Misfits Market,1.1,Pennsauken,"E-commerce,direct-to-consumer","Accel, D1 Capita Partners, Greenoaks Capital Management"
283,Sunbit,1.1,Los Angeles,Fintech,"Zeev Ventures, Group11, Chicago Ventures"
284,G2,1.1,Chicago,"Internet software,services","Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners"
285,Rubicon Global,1.07,Atlanta,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap"
286,Dataiku,1.06,New York,"Internet software,services","Alven Capital, FirstMark Capital, capitalG"
287,Instabase,1.05,San Francisco,"Data management,analytics","New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
288,Proterra,1.05,Burlingame,"Supply chain, logistics,,delivery","GM Ventures, VentureSouth, Kleiner Perkins Caufield & Byers"
289,Sendbird,1.05,San Mateo,"Mobile,telecommunications","FundersClub, Y Combinator, Tiger Global Management"
290,Lookout,1.0,San Francisco,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital"
291,TechStyle Fashion Group,1.0,El Segundo,"E-commerce,direct-to-consumer","Matrix Partners, Passport Capital, Rho Ventures"
292,Red Ventures,1.0,Fort Mill,Other,"Silver Lake Partners, General Atlantic"
293,Vox Media,1.0,Washington,"Internet software,services","Accel Partners, Comcast Ventures, General Atlantic"
294,Age of Learning,1.0,Glendale,Edtech,Iconiq Capital
295,SMS Assist,1.0,Chicago,"Internet software,services","Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
296,Kendra Scott,1.0,Austin,"Consumer,retail","Berkshire Partners, Norwest Venture Partners"
297,Modernizing Medicine,1.0,Boca Raton,Health,"Warburg Pincus, Summit Partners, Sands Capital"
298,Payoneer,1.0,New York,Fintech,"Susquehanna Growth Equity, 83North, China Broadband Capital"
299,Rani Therapeutics,1.0,San Jose,Health,"Google Ventures, VentureHealth, InCube Ventures"
300,Upgrade,1.0,San Francisco,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital"
301,SoundHound,1.0,Santa Clara,Artificial intelligence,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
302,MediaMath,1.0,New York,"Internet software,services","Silicon Valley Bank, QED Investors, European Founders Fund"
303,Pat McGrath Labs,1.0,New York,"Consumer,retail","One Luxury Group, Eurazeo"
304,Branch,1.0,Redwood City,"Mobile,telecommunications","New Enterprise Associates, Pear, Cowboy Ventures"
305,Tresata,1.0,Charlotte,Fintech,GCP Capital Partners
306,REEF Technology,1.0,Miami,"Supply chain, logistics,,delivery","Target Global, UBS Asset Management, Mubadala Capital"
307,Globality,1.0,Menlo Park,Artificial intelligence,SoftBank Group
308,VTS,1.0,New York,"Internet software,services","Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
309,Gympass,1.0,New York,"Internet software,services","General Atlantic, SoftBank Group, Atomico"
310,Ibotta,1.0,Denver,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
311,C2FO,1.0,Leawood,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
312,Dave,1.0,Los Angeles,Fintech,"Section 32, SV Angel, Norwest Venture Partners"
313,Grammarly,1.0,San Francisco,"Internet software,services","General Catalyst, Institutional Venture Partners, Breyer Capital"
314,Pendo,1.0,Raleigh,"Internet software,services","Contour Venture Partners, Battery Ventures, Core Capital Partners"
315,Vacasa,1.0,Portland,Travel,"Level Equity, NewSpring Holdings, Riverwood Capital"
316,Riskified,1.0,New York,Cybersecurity,"Entree Capital, Genesis Partners, Qumra Capital"
317,ClassPass,1.0,New York,"Internet software,services","General Catalyst, L Catterton, Acequia Capital"
318,Alto Pharmacy,1.0,San Francisco,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group"
319,o9 Solutions,1.0,Dallas,Artificial intelligence,KKR
320,Quizlet,1.0,San Francisco,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
321,Apeel Sciences,1.0,Goleta,Other,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
322,Orca Bio,1.0,Menlo Park,Health,"Lightspeed Venture Partners, Data Collective, 8VC"
323,KKW Beauty,1.0,Woodland Hills,"E-commerce,direct-to-consumer",Coty
324,VillageMD,1.0,Chicago,Health,"Kinnevik, Oak HC/FT Partners, Walgreens Boots Alliance"
325,Trumid,1.0,New York,Fintech,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
326,Innovium,1.0,San Jose,Hardware,"WRVI Capital, Qualcomm Ventures, S-Cubed Capital"
327,Zwift,1.0,Long Beach,"E-commerce,direct-to-consumer","Novator Partners, True, Causeway Media Partners"
328,Tekion,1.0,San Ramon,"Internet software,services","Airbus Ventures, Index Ventures, Advent International"
329,Cityblock Health,1.0,Brooklyn,Health,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
330,ClickUp,1.0,San Diego,"Internet software,services","Georgian Partners, Craft Ventures"
331,Boom Supersonic,1.0,Englewood,Other,"WRVI Capital, Caffeinated Capital, Y Combinator"
332,Qualia,1.0,San Francisco,Fintech,"8VC, Menlo Ventures, Tiger Global Management"
333,Dremio,1.0,Santa Clara,"Data management,analytics","Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
334,Lacework,1.0,San Jose,Cybersecurity,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
335,Quantum Metric,1.0,Colorado Springs,"Data management,analytics","Insight Partners, Bain Capital Ventures"
336,Splashtop,1.0,San Jose,"Internet software,services","Storm Ventures, DFJ DragonFund, New Enterprise Associates"
337,Axiom Space,1.0,Houston,Other,"C5 Capital, Hemisphere Ventures, The Venture Collective"
338,Locus Robotics,1.0,Wilmington,Hardware,"Scale Venture Partners, Bond, Tiger Global Management"
339,Standard Cognition,1.0,San Francisco,Artificial intelligence,"CRV, Y Combinator, Initialized Capital"
340,Sentry,1.0,San Francisco,Other,"New Enterprise Associates, Accel, Bond"
341,Skydio,1.0,Redwood City,"Supply chain, logistics,,delivery","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel"
342,Newsela,1.0,New York,"Internet software,services","Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
343,Papaya Global,1.0,New York,"Internet software,services","Bessemer Venture Partners, Insight Partners, New Era Ventures"
344,Flutterwave,1.0,San Francisco,Fintech,"Green Visor Capital, CRE Venture Capital, Greycroft"
345,Evidation Health,1.0,San Mateo,Health,"B Capital Group,, GE Ventures, McKesson Ventures"
346,Side,1.0,San Francisco,"Internet software,services","Coatue Managemeny, Trinity Ventures, Matrix Partners"
347,Lattice,1.0,San Francisco,"Internet software,services","Khosla Ventures, Thrive Capital, Y Combinator"
348,Pacaso,1.0,Cincinnati,Fintech,"Global Founders Capital, Shea Ventures, Greycroft"
349,Feedzai,1.0,San Mateo,Artificial intelligence,"Global Founders Capital, Shea Ventures, Greycroft"
350,Cameo,1.0,Chicago,"Internet software,services","Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures"
351,Fetch Rewards,1.0,Madison,"E-commerce,direct-to-consumer","Greycroft, Loeb.NYC, DST Global"
352,The Zebra,1.0,Austin,"E-commerce,direct-to-consumer","Silverton Partners, Accel, Ballast Point Ventures"
353,Clearcover,1.0,Chicago,Fintech,"American Family Ventures, Cox Enterprises, OMERS Ventures"
354,Groq,1.0,Mountain View,Artificial intelligence,"TDK Ventures, Social Capital, D1 Capital Partners"
355,Injective Protocol,1.0,New York,Fintech,"Pantera Capital, Cadenza Ventures, BlockTower Capital"
356,Sift,1.0,San Francisco,Artificial intelligence,"Union Square Ventures, Insight Partners, Spark Capital"
357,Capsule,1.0,New York,Health,"Thrive Capital, Durable Capital Partners, G Squared"
358,MOLOCO,1.0,Redwood City,Artificial intelligence,"Smilegate Investment, DSC Investments, KTB Ventures"
359,Mux,1.0,San Francisco,"Internet software,services","Accel, Cobalt Capital, Andreessen Horowitz"
360,Firefly Aerospace,1.0,Cedar Park,Other,"XBTO Ventures, Raven One Ventures, SK Ventures"
361,HoneyBook,1.0,San Francisco,"Internet software,services","Norwest Venture Partners, Hillsven Capital, Aleph"
362,Forte Labs,1.0,San Francisco,Fintech,"Iris Capital, Accel, Elaia Partners"
363,Axtria,1.0,Berkeley Heights,"Data management,analytics","Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
364,Amount,1.0,Chicago,Fintech,"Invus Group, Hanaco Venture Capital, WestCap Group"
365,Vise,1.0,New York,Fintech,"Sequoia Capital, Founders Fund, Bling Capital"
366,Printful,1.0,Charlotte,Other,Bregal Sagemount
367,Shippo,1.0,San Francisco,"Supply chain, logistics,,delivery","Version One Ventures, Uncork Capital, Bessemer Venture Partners"
368,Thirty Madison,1.0,New York,Health,"Northzone Ventures, Maveron, Johnson & Johnson Innovation"
369,Aura,1.0,Burlington,Cybersecurity,"Warburg Pincus, General Catalyst"
370,Claroty,1.0,New York,Cybersecurity,"Bessemer Venture Partners, MoreVC, Team8"
371,Aircall,1.0,New York,"Internet software,services","Balderton Capital, Next World Capital, Draper Esprit"
372,SmartAsset,1.0,New York,Fintech,"Javelin Venture Partners, TTV Capital, Peterson Ventures"
373,Morning Consult,1.0,Washington DC,"Internet software,services","Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
