company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Liquor Barn and Party Mart,liquorbarn.com,Louisville,KY,United States,48,http://www.linkedin.com/company/liquor-barn-and-party-mart,1987,Retail,4719,10896000,1,,,,,,,https://www.growjo.com/company/Liquor_Barn_and_Party_Mart,https://www.indeed.com/jobs?q=company%3A(Liquor Barn and Party Mart),37%,For Contact Direct Phone Numbers and Emails see Lead411
Lacuna Health,lacunahealth.com,Louisville,KY,United States,41,http://www.linkedin.com/company/lacuna-health,2018,Hospital/Healthcare,4741,11070000,1,,,,,,,https://www.growjo.com/company/Lacuna_Health,https://www.indeed.com/jobs?q=company%3A(Lacuna Health),37%,For Contact Direct Phone Numbers and Emails see Lead411
Barren River District Health,barrenriverhealth.org,Bowling Green,KY,United States,59,http://www.linkedin.com/company/barren-river-district-health,,Health,4758,15930000,1,,,,,,,https://www.growjo.com/company/Barren_River_District_Health,https://www.indeed.com/jobs?q=company%3A(Barren River District Health),37%,For Contact Direct Phone Numbers and Emails see Lead411
Alpha Orthopedic Systems,alphaorthosys.com,Louisville,KY,United States,45,http://www.linkedin.com/company/alpha-orthopedic-systems,,Medical Equip,4818,11295000,1,,,,,,,https://www.growjo.com/company/Alpha_Orthopedic_Systems,https://www.indeed.com/jobs?q=company%3A(Alpha Orthopedic Systems),36%,For Contact Direct Phone Numbers and Emails see Lead411
Dan Cummins Auto,dancummins.com,Paris,KY,United States,50,http://www.linkedin.com/company/dan-cummins-auto,1956,Automotive,4999,16500000,1,,,,,,,https://www.growjo.com/company/Dan_Cummins_Auto,https://www.indeed.com/jobs?q=company%3A(Dan Cummins Auto),35%,For Contact Direct Phone Numbers and Emails see Lead411
Advance Team Partners,advanceteampartners.com,Louisville,KY,United States,39,http://www.linkedin.com/company/advance-team-partners,2011,Insurance,5012,8580000,1,,,,,,,https://www.growjo.com/company/Advance_Team_Partners,https://www.indeed.com/jobs?q=company%3A(Advance Team Partners),34%,For Contact Direct Phone Numbers and Emails see Lead411
Blue Star Plastics,bluestarplastics.com,Lexington,KY,United States,65,http://www.linkedin.com/company/blue-star-plastics,1984,Plastics,5186,,1,,,,,,,https://www.growjo.com/company/Blue_Star_Plastics,https://www.indeed.com/jobs?q=company%3A(Blue Star Plastics),23%,For Contact Direct Phone Numbers and Emails see Lead411
Rehab Without Walls® NeuroSolutions,rehabwithoutwalls.com,Louisville,KY,United States,314,http://www.linkedin.com/company/rehab-without-walls-neurosolutions,1988,Hospital/Healthcare,5254,84780000,1,,,,,,,https://www.growjo.com/company/Rehab_Without_Walls®_NeuroSolutions,https://www.indeed.com/jobs?q=company%3A(Rehab Without Walls® NeuroSolutions),25%,For Contact Direct Phone Numbers and Emails see Lead411
University of Kentucky J. David Rosenberg College of Law,law.uky.edu,Lexington,ky,United States,89,http://www.linkedin.com/company/university-of-kentucky-college-of-law,1908,Education,5401,16020000,1,,,,,,,https://www.growjo.com/company/University_of_Kentucky_J._David_Rosenberg_College_of_Law,https://www.indeed.com/jobs?q=company%3A(University of Kentucky J. David Rosenberg College of Law),22%,For Contact Direct Phone Numbers and Emails see Lead411
Northern Kentucky Health Department,nkyhealth.org,Florence,KY,United States,89,http://www.linkedin.com/company/northern-kentucky-health-dept,,Hospital/Healthcare,5403,24030000,1,,,,,,,https://www.growjo.com/company/Northern_Kentucky_Health_Department,https://www.indeed.com/jobs?q=company%3A(Northern Kentucky Health Department),22%,For Contact Direct Phone Numbers and Emails see Lead411
